timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748001668929,547,Ebay.pl main page,200,OK,Ebay.pl users 1-5,text,true,,14167,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=65429ccf-c631-4d33-a359-9fe05502f706&iim=eMTg1LjQ&iia=jNEzLjE4gy&iiz=FXMNi4xNTg*Ekn,60,0,0
1748001668929,60,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-5,,true,,188,113,6,6,http://www.ebay.pl/,60,0,0
1748001668989,214,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-5,,true,,401,113,6,6,https://www.ebay.pl/,214,0,0
1748001669203,273,Ebay.pl main page-2,200,OK,Ebay.pl users 1-5,text,true,,13578,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=65429ccf-c631-4d33-a359-9fe05502f706&iim=eMTg1LjQ&iia=jNEzLjE4gy&iiz=FXMNi4xNTg*Ekn,273,0,0
1748001668993,661,Ebay.pl main page,200,OK,Ebay.pl users 1-3,text,true,,14258,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=937bf867-22ee-402b-bddf-3b7c6ab313ca&iim=kMTg1Ljl&iia=FREzLjE4cf&iiz=cAsNi4xNTg*HFf,67,0,0
1748001668993,67,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-3,,true,,188,113,6,6,http://www.ebay.pl/,67,0,0
1748001669060,292,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-3,,true,,401,113,6,6,https://www.ebay.pl/,292,0,0
1748001669352,302,Ebay.pl main page-2,200,OK,Ebay.pl users 1-3,text,true,,13669,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=937bf867-22ee-402b-bddf-3b7c6ab313ca&iim=kMTg1Ljl&iia=FREzLjE4cf&iiz=cAsNi4xNTg*HFf,288,0,0
1748001669106,598,Ebay.pl main page,200,OK,Ebay.pl users 1-1,text,true,,14159,471,5,5,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=106b72c1-4a8f-4190-ae6a-10984a06d2b5&iim=OMTg1Ljs&iia=qjEzLjE4uh&iiz=TZHNi4xNTg*KDN,52,0,0
1748001669106,52,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-1,,true,,188,113,5,5,http://www.ebay.pl/,52,0,0
1748001669158,221,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-1,,true,,401,113,5,5,https://www.ebay.pl/,221,0,0
1748001669379,325,Ebay.pl main page-2,200,OK,Ebay.pl users 1-1,text,true,,13570,245,5,5,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=106b72c1-4a8f-4190-ae6a-10984a06d2b5&iim=OMTg1Ljs&iia=qjEzLjE4uh&iiz=TZHNi4xNTg*KDN,325,0,0
1748001669070,646,Ebay.pl main page,200,OK,Ebay.pl users 1-2,text,true,,14180,471,4,4,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=8ee91781-d202-42c8-a335-bac68d1c995e&iim=hMTg1LjT&iia=HiEzLjE4fY&iiz=TQtNi4xNTg*YUZ,110,0,0
1748001669070,110,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-2,,true,,188,113,4,4,http://www.ebay.pl/,110,0,0
1748001669180,241,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-2,,true,,401,113,4,4,https://www.ebay.pl/,241,0,0
1748001669421,295,Ebay.pl main page-2,200,OK,Ebay.pl users 1-2,text,true,,13591,245,4,4,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=8ee91781-d202-42c8-a335-bac68d1c995e&iim=hMTg1LjT&iia=HiEzLjE4fY&iiz=TQtNi4xNTg*YUZ,295,0,0
1748001669131,592,Ebay.pl main page,200,OK,Ebay.pl users 1-6,text,true,,14164,471,4,4,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=487a8cdd-4d8b-40ce-9a47-72a3c178580e&iim=ZMTg1LjW&iia=PaEzLjE4GQ&iiz=KzcNi4xNTg*Yfl,75,0,0
1748001669131,75,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-6,,true,,188,113,4,4,http://www.ebay.pl/,75,0,0
1748001669206,251,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-6,,true,,401,113,4,4,https://www.ebay.pl/,251,0,0
1748001669457,266,Ebay.pl main page-2,200,OK,Ebay.pl users 1-6,text,true,,13575,245,4,4,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=487a8cdd-4d8b-40ce-9a47-72a3c178580e&iim=ZMTg1LjW&iia=PaEzLjE4GQ&iiz=KzcNi4xNTg*Yfl,266,0,0
1748001669187,573,Ebay.pl main page,200,OK,Ebay.pl users 1-4,text,true,,14203,471,4,4,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=9e007949-4c9e-4aaa-9279-6c8f23904805&iim=MMTg1Ljz&iia=UXEzLjE4cg&iiz=jfNNi4xNTg*YKG,52,0,0
1748001669187,52,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-4,,true,,188,113,4,4,http://www.ebay.pl/,52,0,0
1748001669239,228,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-4,,true,,401,113,4,4,https://www.ebay.pl/,228,0,0
1748001669467,293,Ebay.pl main page-2,200,OK,Ebay.pl users 1-4,text,true,,13614,245,4,4,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=9e007949-4c9e-4aaa-9279-6c8f23904805&iim=MMTg1Ljz&iia=UXEzLjE4cg&iiz=jfNNi4xNTg*YKG,292,0,0
1748001669477,545,Ebay.pl main page,200,OK,Ebay.pl users 1-5,text,true,,14164,471,3,3,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=fe82af61-b938-4392-b38f-ee73266d8103&iim=xMTg1Ljp&iia=GmEzLjE4VX&iiz=DsFNi4xNTg*nyT,56,0,0
1748001669477,56,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-5,,true,,188,113,3,3,http://www.ebay.pl/,56,0,0
1748001669533,204,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-5,,true,,401,113,3,3,https://www.ebay.pl/,204,0,0
1748001669737,285,Ebay.pl main page-2,200,OK,Ebay.pl users 1-5,text,true,,13575,245,3,3,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=fe82af61-b938-4392-b38f-ee73266d8103&iim=xMTg1Ljp&iia=GmEzLjE4VX&iiz=DsFNi4xNTg*nyT,285,0,0
1748001669724,534,Ebay.pl main page,200,OK,Ebay.pl users 1-6,text,true,,14224,471,2,2,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=e7939d70-223f-4288-9e51-ee545d5047fb&iim=nMTg1Ljt&iia=GrEzLjE4CW&iiz=ULdNi4xNTg*BVT,80,0,0
1748001669724,80,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-6,,true,,188,113,2,2,http://www.ebay.pl/,80,0,0
1748001669804,209,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-6,,true,,401,113,2,2,https://www.ebay.pl/,209,0,0
1748001670013,245,Ebay.pl main page-2,200,OK,Ebay.pl users 1-6,text,true,,13635,245,2,2,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=e7939d70-223f-4288-9e51-ee545d5047fb&iim=nMTg1Ljt&iia=GrEzLjE4CW&iiz=ULdNi4xNTg*BVT,244,0,0
1748001669716,586,Ebay.pl main page,200,OK,Ebay.pl users 1-2,text,true,,14151,471,1,1,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=75368979-87f5-4a33-a9d7-769412c5a68f&iim=HMTg1LjN&iia=QeEzLjE4nu&iiz=BXCNi4xNTg*pfN,78,0,0
1748001669716,78,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-2,,true,,188,113,1,1,http://www.ebay.pl/,78,0,0
1748001669794,221,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-2,,true,,401,113,1,1,https://www.ebay.pl/,221,0,0
1748001670015,287,Ebay.pl main page-2,200,OK,Ebay.pl users 1-2,text,true,,13562,245,1,1,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=75368979-87f5-4a33-a9d7-769412c5a68f&iim=HMTg1LjN&iia=QeEzLjE4nu&iiz=BXCNi4xNTg*pfN,287,0,0
